,Unnamed: 0,Ticker,Entry Time,Entry Price,Exit Time,Exit Price,Profit,Profitable Trade,Returns,Excess Returns,Cumulative Returns,Running Maximum,Drawdown
0,1,BANKNIFTY09JUL2022800PE,08-07-2020 09:29,301.0,08-07-2020 13:15,163.5,-137.5,False,-0.4568106312292359,-5.456810631229236,0.5431893687707641,0.5431893687707641,0.0
1,2,BANKNIFTY09JUL2022700CE,09-07-2020 09:29,166.75,09-07-2020 10:34,162.5,-4.25,False,-0.025487256371814093,-5.0254872563718145,0.5293449620704598,0.5431893687707641,-0.01384440670030429
2,3,BANKNIFTY09JUL2022700PE,09-07-2020 09:29,147.0,09-07-2020 10:34,110.55,-36.45,False,-0.24795918367346942,-5.247959183673469,0.398089017393805,0.5431893687707641,-0.1451003513769591
3,4,BANKNIFTY16JUL2022700CE,10-07-2020 09:29,437.55,10-07-2020 15:24,295.1,-142.45,False,-0.3255627928236773,-5.3255627928236775,0.2684860450986444,0.5431893687707641,-0.2747033236721197
4,5,BANKNIFTY16JUL2022700PE,10-07-2020 09:29,403.15,10-07-2020 15:24,555.2,152.05000000000007,True,0.37715490512216315,-4.622845094877837,0.36974687396444844,0.5431893687707641,-0.17344249480631563
5,6,BANKNIFTY16JUL2022600CE,13-07-2020 09:29,370.55,13-07-2020 11:11,229.35,-141.20000000000002,False,-0.3810551882337067,-5.381055188233707,0.2288529093071009,0.5431893687707641,-0.3143364594636632
6,7,BANKNIFTY16JUL2022600PE,13-07-2020 09:29,356.5,13-07-2020 11:11,590.85,234.35000000000002,True,0.6573632538569426,-4.342636746143057,0.37929240242384454,0.5431893687707641,-0.16389696634691953
7,8,BANKNIFTY16JUL2021800CE,14-07-2020 09:29,314.65,14-07-2020 10:56,224.35,-90.29999999999998,False,-0.28698553948832034,-5.28698553948832,0.2704409676904164,0.5431893687707641,-0.27274840108034765
8,9,BANKNIFTY16JUL2021800PE,14-07-2020 09:29,328.55,14-07-2020 10:56,513.65,185.09999999999997,True,0.5633845685588189,-4.436615431441181,0.4228032355933111,0.5431893687707641,-0.12038613317745295
9,10,BANKNIFTY16JUL2021600CE,15-07-2020 09:29,265.65,15-07-2020 12:03,329.25,63.60000000000002,True,0.2394127611518917,-4.7605872388481085,0.5240277256506595,0.5431893687707641,-0.0191616431201046
10,11,BANKNIFTY16JUL2021600PE,15-07-2020 09:29,298.3,15-07-2020 12:03,173.3,-125.0,False,-0.4190412336573919,-5.419041233657392,0.3044385010233298,0.5431893687707641,-0.23875086774743426
11,12,BANKNIFTY16JUL2021100CE,16-07-2020 09:29,135.8,16-07-2020 09:48,244.95,109.14999999999998,True,0.8037555228276876,-4.196244477172312,0.5491326275822138,0.5491326275822138,0.0
12,13,BANKNIFTY16JUL2021100PE,16-07-2020 09:29,148.95,16-07-2020 09:48,72.6,-76.35,False,-0.5125881168177241,-5.512588116817724,0.26765376812667824,0.5491326275822138,-0.2814788594555356
13,14,BANKNIFTY23JUL2021700CE,17-07-2020 09:29,447.65,17-07-2020 15:24,582.75,135.10000000000002,True,0.30179827990617675,-4.698201720093823,0.3484312149577164,0.5491326275822138,-0.20070141262449742
14,15,BANKNIFTY23JUL2021700PE,17-07-2020 09:29,406.45,17-07-2020 15:24,246.3,-160.14999999999998,False,-0.39402140484684456,-5.3940214048468444,0.2111418581475841,0.5491326275822138,-0.3379907694346297
15,16,BANKNIFTY23JUL2022300CE,20-07-2020 09:29,412.0,20-07-2020 13:33,306.65,-105.35000000000002,False,-0.25570388349514567,-5.255703883495146,0.15715206505086568,0.5491326275822138,-0.39198056253134816
16,17,BANKNIFTY23JUL2022300PE,20-07-2020 09:29,363.3,20-07-2020 13:33,388.3,25.0,True,0.06881365262868153,-4.931186347371319,0.16796627266515593,0.5491326275822138,-0.38116635491705786
17,18,BANKNIFTY23JUL2022600CE,21-07-2020 09:29,346.15,21-07-2020 15:24,388.95,42.80000000000001,True,0.1236458182868699,-4.87635418171313,0.18873459989343463,0.5491326275822138,-0.36039802768877915
18,19,BANKNIFTY23JUL2022600PE,21-07-2020 09:29,294.0,21-07-2020 15:24,195.5,-98.5,False,-0.33503401360544216,-5.335034013605442,0.12550208938491997,0.5491326275822138,-0.42363053819729385
19,20,BANKNIFTY23JUL2022900CE,22-07-2020 09:29,231.5,22-07-2020 09:36,171.1,-60.400000000000006,False,-0.26090712742980565,-5.260907127429806,0.0927576997570618,0.5491326275822138,-0.456374927825152
20,21,BANKNIFTY23JUL2022900PE,22-07-2020 09:29,278.75,22-07-2020 09:36,394.15,115.39999999999998,True,0.41399103139013443,-4.586008968609866,0.13115855554886424,0.5491326275822138,-0.4179740720333496
21,22,BANKNIFTY23JUL2022800CE,23-07-2020 09:29,169.75,23-07-2020 09:54,132.85,-36.900000000000006,False,-0.21737849779086896,-5.217378497790869,0.1026475057712319,0.5491326275822138,-0.44648512181098193
22,23,BANKNIFTY23JUL2022800PE,23-07-2020 09:29,123.0,23-07-2020 09:54,127.25,4.25,True,0.034552845528455285,-4.965447154471545,0.10619426918202651,0.5491326275822138,-0.4429383584001873
23,24,BANKNIFTY30JUL2022700CE,24-07-2020 09:29,426.35,24-07-2020 15:24,353.15,-73.20000000000005,False,-0.1716899261170401,-5.17168992611704,0.08796178295211131,0.5491326275822138,-0.4611708446301025
24,25,BANKNIFTY30JUL2022700PE,24-07-2020 09:29,410.0,24-07-2020 15:24,435.05,25.05000000000001,True,0.06109756097560978,-4.93890243902439,0.09333603334955128,0.5491326275822138,-0.45579659423266256
25,26,BANKNIFTY30JUL2022200CE,27-07-2020 09:29,359.85,27-07-2020 15:24,204.7,-155.15000000000003,False,-0.43115186883423656,-5.431151868834236,0.05309402814131761,0.5491326275822138,-0.49603859944089623
26,27,BANKNIFTY30JUL2022200PE,27-07-2020 09:29,360.05,27-07-2020 15:24,550.65,190.59999999999997,True,0.5293709207054574,-4.470629079294542,0.08120046270244838,0.5491326275822138,-0.4679321648797654
27,28,BANKNIFTY30JUL2022100CE,28-07-2020 09:29,299.75,28-07-2020 10:16,142.4,-157.35,False,-0.5249374478732277,-5.524937447873228,0.03857529904529991,0.5491326275822138,-0.5105573285369139
28,29,BANKNIFTY30JUL2022100PE,28-07-2020 09:29,348.45,28-07-2020 10:16,581.8,233.34999999999997,True,0.6696800114794087,-4.330319988520591,0.06440840575277797,0.5491326275822138,-0.48472422182943586
29,30,BANKNIFTY30JUL2022300CE,29-07-2020 09:29,240.8,29-07-2020 13:25,214.35,-26.450000000000017,False,-0.10984219269102996,-5.10984219269103,0.05733364523715928,0.5491326275822138,-0.49179898234505454
30,31,BANKNIFTY30JUL2022300PE,29-07-2020 09:29,233.0,29-07-2020 13:25,207.3,-25.69999999999999,False,-0.11030042918454931,-5.11030042918455,0.05100971956078592,0.5491326275822138,-0.4981229080214279
31,32,BANKNIFTY30JUL2022200CE,30-07-2020 09:29,125.0,30-07-2020 10:33,118.1,-6.900000000000006,False,-0.05520000000000005,-5.0552,0.048193983041030536,0.5491326275822138,-0.5009386445411833
32,33,BANKNIFTY30JUL2022200PE,30-07-2020 09:29,132.2,30-07-2020 10:33,110.7,-21.499999999999986,False,-0.1626323751891073,-5.162632375189108,0.04035608110924418,0.5491326275822138,-0.5087765464729697
33,34,BANKNIFTY06AUG2021600CE,31-07-2020 09:29,445.0,31-07-2020 15:03,434.25,-10.75,False,-0.024157303370786518,-5.024157303370787,0.0393811870150321,0.5491326275822138,-0.5097514405671817
